#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
456,Ice Pick Ale,Silverton Brewery,"Silverton, CO",American IPA,12 oz.,6.80%,N/A,IPA
457,IceyPA,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz. Alumi-Tek®,???,N/A,IPA
458,Immersion Amber Ale,Two Beers Brewing Company,"Seattle, WA",American Amber / Red Ale,12 oz.,5.20%,27,Ale
459,Imperial Java Stout,Santa Fe Brewing Company,"Santa Fe, NM",Russian Imperial Stout,12 oz.,8%,N/A,Stout
460,Inclined Plane Ale,Flat Rock Brewing Company,"Smithton, PA",American IPA,12 oz.,???,N/A,IPA
461,Independence Pass Ale,Aspen Brewing Company,"Aspen, CO",American IPA,12 oz.,7%,67,IPA
462,Indianapolis Indians Lager,Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24,Lager
463,Indians Victory Lager (2012),Sun King Brewing Company,"Indianapolis, IN",Dortmunder / Export Lager,16 oz.,5.20%,24,Lager
464,Indie Pale Ale,Cisco Brewers,"Nantucket, MA",American IPA,12 oz.,6.50%,N/A,IPA
465,Interurban IPA,Fremont Brewing Company,"Seattle, WA",American IPA,12 oz.,6.50%,80,IPA
466,Invasion Pale Ale,Cigar City Brewing Company,"Tampa, FL",American Pale Ale (APA),12 oz.,5%,N/A,Ale
467,Iron Mike Pale Ale,Moat Mountain Smoke House & Brew...,"North Conway, NH",American Pale Ale (APA),24 oz.,5.60%,N/A,Ale
468,Isis,Sun King Brewing Company,"Indianapolis, IN",American Double / Imperial IPA,16 oz.,9.10%,91,IPA
469,Island Wheat,Capital Brewery,"Middleton, WI",American Pale Wheat Ale,12 oz.,4.20%,N/A,Ale
470,Jack Stout,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",Oatmeal Stout,12 oz.,6.50%,N/A,Stout
471,Jack's Hard Cider,Jack's Hard Cider (Hauser Estate...,"Biglerville, PA",Cider,12 oz.,5.10%,N/A,Other
472,Jai Alai IPA,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70,IPA
473,Jai Alai IPA Aged on White Oak,Cigar City Brewing Company,"Tampa, FL",American IPA,12 oz.,7.50%,70,IPA
474,Jessie's Garage,Revolution Brewing,"Paonia, CO",American Pale Ale (APA),16 oz.,5.60%,N/A,Ale
475,Jockamo IPA,Abita Brewing Company,"Abita Springs, LA",American IPA,12 oz.,6.50%,52,IPA
476,Johan the Barleywine,Sun King Brewing Company,"Indianapolis, IN",English Barleywine,16 oz.,10%,60,Other
477,Johnny's American IPA,Moab Brewery,"Moab, UT",American IPA,16 oz.,4%,N/A,IPA
478,Jon Boat Coastal Ale,Intuition Ale Works,"Jacksonville, FL",American Blonde Ale,12 oz.,4.50%,20,Ale
479,José Martí American Porter,Cigar City Brewing Company,"Tampa, FL",American Porter,12 oz.,8%,65,Other
480,Joseph James American Lager,Joseph James Brewing Company,"Henderson, NV",American Adjunct Lager,12 oz.,5.20%,15,Lager
481,Kaleidoscope Collaboration 2012,Devil's Canyon Brewery,"Belmont, CA",American Black Ale,16 oz.,???,N/A,Ale
482,Köld Lager (2010),Tallgrass Brewing Company,"Manhattan, KS",German Pilsener,16 oz.,5%,16,Other
483,Kentucky IPA,Alltech's Lexington Brewing Company,"Lexington, KY",American IPA,16 oz.,???,N/A,IPA
484,Kilt Lifter Scottish-Style Ale,Four Peaks Brewing Company,"Tempe, AZ",Scottish Ale,12 oz.,6%,N/A,Ale
485,Kludde,Brewery Vivant,"Grand Rapids, MI",Belgian Strong Dark Ale,16 oz.,8.50%,N/A,Ale
486,Kodiak Brown Ale,Midnight Sun Brewing Company,"Anchorage, AK",American Brown Ale,12 oz.,5%,24,Ale
487,La Frontera Premium IPA,Big Bend Brewing Company,"Alpine, TX",American IPA,12 oz.,7.80%,N/A,IPA
488,La Perouse White,Maui Brewing Company,"Lahaina, HI",Witbier,12 oz.,5%,12,Other
489,Lancaster German Style Kölsch,Lancaster Brewing Company,"Lancaster, PA",Kölsch,12 oz.,4.80%,28,Other
490,Lands End Amber Ale,Kannah Creek Brewing Company,"Grand Junction, CO",American Amber / Red Ale,12 oz.,5.70%,28,Ale
491,Lava Lake Wit,Crazy Mountain Brewing Company,"Edwards, CO",Witbier,12 oz.,5.20%,15,Other
492,Lawnmower Lager,Ellersick Brewing Company (Big E...,"Lynnwood, WA",American Pale Lager,16 oz.,4.80%,N/A,Lager
493,Lawnmower Lager,Caldera Brewing Company,"Ashland, OR",American Adjunct Lager,12 oz.,3.90%,16,Lager
494,Lazy Daze Lager,Rochester Mills Brewing Company,"Rochester, MI",American Adjunct Lager,12 oz.,5.50%,N/A,Lager
495,Le Mort Vivant,Southern Star Brewing Company,"Conroe, TX",Bière de Garde,12 oz.,6.90%,23,Other
496,Leaning Chimney Smoked Porter,Grey Sail Brewing of Rhode Island,"Westerly, RI",American Porter,16 oz.,6%,34,Other
497,Leroy (2005),Oskar Blues Brewery,"Lyons, CO",American Brown Ale,12 oz.,5.20%,N/A,Ale
498,Lewis & Clark Amber Ale,Lewis and Clark Brewing Company,"Helena, MT",American Amber / Red Ale,12 oz.,5%,N/A,Ale
499,Lift Bridge Brown Ale,Keweenaw Brewing Company,"Houghton, MI",American Brown Ale,12 oz.,???,N/A,Ale
500,Light IPA,Wachusett Brewing Company,"Westminster, MA",American IPA,12 oz.,4%,37,IPA
501,Lily Flagg Milk Stout,Straight to Ale,"Huntsville, AL",Milk / Sweet Stout,12 oz.,5%,30,Stout
502,Liquid Amber Ale,Prescott Brewing Company,"Prescott, AZ",American Amber / Red Ale,12 oz.,???,N/A,Ale
503,Liquid Breadfruit,Maui Brewing Company,"Lahaina, HI",Fruit / Vegetable Beer,12 oz.,8.20%,N/A,Other
504,Loafin Bräu,Tampa Bay Brewing Company,"Tampa, FL",Altbier,16 oz.,5.50%,N/A,Other
505,Loki Red Ale,Fearless Brewing Company,"Estacada, OR",American Amber / Red Ale,16 oz.,7.50%,N/A,Ale
506,Long Day Lager,Red Hare Brewing Company,"Marietta, GA",Czech Pilsener,12 oz.,4.90%,N/A,Other
507,Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,12 oz.,6.50%,44,IPA
508,Long Hammer IPA,Redhook Brewery,"Woodinville, WA",American IPA,16 oz.,6.50%,44,IPA
509,Long Trail Ale,Long Trail Brewing Company,"Bridgewater Corners, VT",Altbier,12 oz.,4.60%,30,Other
510,Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18,Lager
511,Longboard Island Lager,Kona Brewing Company,"Kona, HI",American Amber / Red Lager,12 oz.,4.60%,18,Lager
512,Longfin Lager,Ballast Point Brewing Company,"San Diego, CA",Munich Helles Lager,12 oz.,4.60%,N/A,Lager
513,Loose Cannon,Heavy Seas Beer,"Halethorpe, MD",American IPA,12 oz.,7.20%,45,IPA
514,Louie’s Demise Ale (2010),Milwaukee Brewing Company,"Milwaukee, WI",American Amber / Red Ale,16 oz.,5.10%,24,Ale
515,Lower De Boom,21st Amendment Brewery,"San Francisco, CA",American Barleywine,8.4 oz.,11.50%,92,Other
516,Lucky U IPA,Breckenridge Brewery,"Denver, CO",American IPA,12 oz.,6.20%,68,IPA
517,Lumberyard IPA,Lumberyard Brewing Company,"Flagstaff, AZ",American IPA,12 oz.,6.10%,N/A,IPA
518,Lumberyard Red Ale,Lumberyard Brewing Company,"Flagstaff, AZ",American Amber / Red Ale,12 oz.,5.80%,N/A,Ale
519,Mac's Highlander Pale Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Pale Ale (APA),12 oz.,5%,N/A,Ale
520,Mac's Scottish Style Amber Ale (2000),MacTarnahans Brewing Company,"Portland, OR",American Amber / Red Ale,12 oz.,5.10%,32,Ale
521,Macon History Ale,Macon Beer Company,"Macon, GA",American Brown Ale,12 oz.,5.50%,N/A,Ale
522,Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",American Brown Ale,12 oz.,5.50%,25,Ale
523,Maduro Brown Ale,Cigar City Brewing Company,"Tampa, FL",English Brown Ale,12 oz.,5.50%,25,Ale
524,Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Czech Pilsener,12 oz.,5.30%,35,Other
525,Mama's Little Yella Pils,Oskar Blues Brewery,"Longmont, CO",Czech Pilsener,19.2 oz.,5.30%,35,Other
526,Mana Wheat,Maui Brewing Company,"Lahaina, HI",American Pale Wheat Ale,12 oz.,5.50%,15,Ale
527,Manhattan Gold Lager (1990),The Manhattan Brewing Company,"New York, NY",American Amber / Red Lager,12 oz.,???,N/A,Lager
528,Marble India Pale Ale,Marble Brewery,"Albuquerque, NM",American IPA,12 oz.,6.20%,N/A,IPA
529,Marooned On Hog Island,21st Amendment Brewery,"San Francisco, CA",American Stout,12 oz.,7.90%,N/A,Stout
530,Maxwell's Scottish Ale,Rivertowne Brewing Company,"Export, PA",Scottish Ale,12 oz.,5.10%,N/A,Ale
531,McKinney Eddy Amber Ale,Piney River Brewing Company,"Bucryus, MO",American Amber / Red Ale,16 oz.,5.50%,20,Ale
532,Meat Wave,Half Acre Beer Company,"Chicago, IL",English India Pale Ale (IPA),16 oz.,6%,N/A,IPA
533,MechaHopzilla,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Double / Imperial IPA,16 oz.,8.80%,N/A,IPA
534,Mexican Logger,Ska Brewing Company,"Durango, CO",American Pale Lager,12 oz.,4.20%,18,Lager
535,Mickey Finn's Amber Ale,Mickey Finn's Brewery,"Libertyville, IL",American Amber / Red Ale,12 oz.,5.60%,N/A,Ale
536,Midnight Ryder,Indeed Brewing Company,"Minneapolis, MN",American Black Ale,12 oz.,6.50%,80,Ale
537,Midwest Charm Farmhouse Ale,Okoboji Brewing Company,"Spirit Lake, IA",Saison / Farmhouse Ale,16 oz.,6%,29,Ale
538,Milkshake Stout,Rochester Mills Brewing Company,"Rochester, MI",Milk / Sweet Stout,16 oz.,5%,N/A,Stout
539,Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,12 oz.,???,N/A,Ale
540,Miner's Gold,Revolution Brewing,"Paonia, CO",American Blonde Ale,16 oz.,5%,N/A,Ale
541,Miner's Gold Hefeweizen,Lewis and Clark Brewing Company,"Helena, MT",Hefeweizen,12 oz.,5%,N/A,Other
542,Missouri Mule India Pale Ale,Piney River Brewing Company,"Bucryus, MO",American IPA,16 oz.,7%,70,IPA
543,Mistress Winter Wheat,Bonfire Brewing Company,"Eagle, CO",Winter Warmer,12 oz.,6.40%,N/A,Other
544,Misty Mountain IPA,Back East Brewing Company,"Bloomfield, CT",American IPA,12 oz.,7%,N/A,IPA
545,Mjolnir Imperial IPA,Fearless Brewing Company,"Estacada, OR",American Double / Imperial IPA,16 oz.,6.90%,N/A,IPA
546,Mo's Gose,Armstrong Brewing Company,"South San Francisco, CA",Gose,16 oz.,5.20%,10,Other
547,Modus Hoperandi,Ska Brewing Company,"Durango, CO",American IPA,12 oz.,6.80%,65,IPA
548,Monk's Blood,21st Amendment Brewery,"San Francisco, CA",Belgian Dark Ale,12 oz.,8.30%,35,Ale
549,Monkey Paw Oatmeal Pale Ale,Monkey Paw Pub & Brewery,"San Diego, CA",American Pale Ale (APA),16 oz.,5.80%,N/A,Ale
550,Monkeynaut IPA,Straight to Ale,"Huntsville, AL",American IPA,12 oz.,7.20%,70,IPA
551,Montana Trout Slayer Ale (2009),Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
552,Montana Trout Slayer Ale,Big Sky Brewing Company,"Missoula, MT",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
553,Moo Thunder Stout,Butternuts Beer and Ale,"Garrattsville, NY",Milk / Sweet Stout,12 oz.,4.90%,N/A,Stout
554,Moose Drool Brown Ale (2009),Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.30%,N/A,Ale
555,Moose Drool Brown Ale,Big Sky Brewing Company,"Missoula, MT",American Brown Ale,12 oz.,5.30%,N/A,Ale
556,Morning Wood,Big Wood Brewery,"Vadnais Heights, MN",Oatmeal Stout,16 oz.,6%,N/A,Stout
557,Morning Wood Wheat,Pug Ryan's Brewery,"Dillon, CO",American Pale Wheat Ale,12 oz.,???,N/A,Ale
558,Mother Ale,Denali Brewing Company,"Talkeetna, AK",American Blonde Ale,12 oz.,5.60%,46,Ale
559,Mountain Fairy Raspberry Wheat,Eddyline Brewery & Restaurant,"Buena Vista, CO",Fruit / Vegetable Beer,16 oz.,5.50%,N/A,Other
560,Mountain Livin' Pale Ale,Crazy Mountain Brewing Company,"Edwards, CO",American Pale Ale (APA),12 oz.,6%,N/A,Ale
561,Mr. Pineapple,SanTan Brewing Company,"Chandler, AZ",Hefeweizen,12 oz.,5%,20,Other
562,Mucho Aloha Hawaiian Pale Ale,Butcher's Brewing,"Carlsbad, CA",American Pale Ale (APA),12 oz.,5.60%,36,Ale
563,Mustang '33,Mustang Brewing Company,"Mustang, OK",American Pale Lager,12 oz.,4%,N/A,Lager
564,Mustang Golden Ale,Mustang Brewing Company,"Mustang, OK",American Blonde Ale,12 oz.,5.30%,10,Ale
565,Mutton Buster,Payette Brewing Company,"Garden City, ID",American Brown Ale,12 oz.,5.50%,25,Ale
566,Mystic Mama IPA,Jackie O's Pub & Brewery,"Athens, OH",American IPA,12 oz.,7%,N/A,IPA
567,Mystical Stout,Wildwood Brewing Company,"Stevensville, MT",Irish Dry Stout,16 oz.,5.40%,N/A,Stout
568,N Street Drive In Double IPA,Blue Blood Brewing Company,"Lincoln, NE",American Double / Imperial IPA,12 oz.,???,N/A,IPA
569,Narragansett Bock,Narragansett Brewing Company,"Providence, RI",Bock,16 oz.,6.50%,32,Other
570,Narragansett Cream Ale,Narragansett Brewing Company,"Providence, RI",Cream Ale,16 oz.,5%,22,Ale
571,Narragansett Fest Lager,Narragansett Brewing Company,"Providence, RI",Märzen / Oktoberfest,16 oz.,5.50%,15,Other
572,Narragansett Porter,Narragansett Brewing Company,"Providence, RI",American Porter,16 oz.,7%,22,Other
573,Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,16 oz.,4.20%,24,Ale
574,Narragansett Summer Ale,Narragansett Brewing Company,"Providence, RI",American Pale Wheat Ale,12 oz.,4.20%,24,Ale
575,Native Amber,COOP Ale Works,"Oklahoma City, OK",American Amber / Red Ale,16 oz.,6.30%,35,Ale
576,Nebraska India Pale Ale,Nebraska Brewing Company,"Papillion, NE",American IPA,12 oz.,6.50%,65,IPA
577,Newburyport Pale Ale,Newburyport Brewing Company,"Newburyport, MA",American Pale Ale (APA),12 oz.,???,N/A,Ale
578,Ninja Porter,Asheville Brewing Company,"Asheville, NC",American Porter,12 oz.,5.30%,26,Other
579,NOLA Blonde Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",American Blonde Ale,12 oz.,4.90%,N/A,Ale
580,NOLA Brown Ale,New Orleans Lager & Ale Brewing ...,"New Orleans, LA",English Dark Mild Ale,12 oz.,3.90%,N/A,Ale
581,North Fork Lager,Payette Brewing Company,"Garden City, ID",American Pale Lager,12 oz.,4.40%,N/A,Lager
582,Northern Lights Amber Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Amber / Red Ale,12 oz.,5%,15,Ale
583,Northern Lights India Pale Ale,Starr Hill Brewery,"Crozet, VA",American IPA,12 oz.,6.50%,52,IPA
584,November Gale Pale Ale,Keweenaw Brewing Company,"Houghton, MI",American Pale Ale (APA),12 oz.,???,N/A,Ale
585,Number 22 Porter,Big Bend Brewing Company,"Alpine, TX",American Porter,12 oz.,6.40%,N/A,Other
586,Nut Brown Ale,New South Brewing Company,"Myrtle Beach, SC",English Brown Ale,12 oz.,5.40%,N/A,Ale
587,Nut Sack Imperial Brown Ale,Engine 15 Brewing,"Jacksonville Beach, FL",American Brown Ale,12 oz.,7%,N/A,Ale
588,O'Fallon Wheach,O'Fallon Brewery,"O'Fallon, MO",Fruit / Vegetable Beer,12 oz.,5.10%,7,Other
589,O-Gii,Milwaukee Brewing Company,"Milwaukee, WI",Witbier,16 oz.,9.20%,N/A,Other
590,Oaky's Oatmeal Stout,Angry Minnow Brewing Company,"Hayward, WI",Oatmeal Stout,16 oz.,4.70%,N/A,Stout
591,Oasis (2010),Tallgrass Brewing Company,"Manhattan, KS",American Double / Imperial IPA,16 oz.,7.20%,93,IPA
592,Oasis,Tallgrass Brewing Company,"Manhattan, KS",Extra Special / Strong Bitter (ESB),16 oz.,7.20%,93,Other
593,Oatmeal PSA,Airways Brewing Company,"Kent, WA",American Pale Ale (APA),16 oz.,5%,N/A,Ale
594,OB-1 Organic Ale,Snake River Brewing Company,"Jackson, WY",English Brown Ale,12 oz.,5%,22,Ale
595,Occidental Altbier,Occidental Brewing Company,"Portland, OR",Altbier,16 oz.,5%,N/A,Other
596,Occidental Dunkel,Occidental Brewing Company,"Portland, OR",Dunkelweizen,16 oz.,5.10%,N/A,Other
597,Occidental Kölsch,Occidental Brewing Company,"Portland, OR",Kölsch,16 oz.,4.50%,N/A,Other
598,Odyssey Imperial IPA,Sly Fox Brewing Company,"Phoenixville, PA",American Double / Imperial IPA,12 oz.,8.40%,90,IPA
599,Oktoberfest,Great River Brewery,"Davenport, IA",Märzen / Oktoberfest,16 oz.,5.90%,25,Other
600,Oktoberfest Lager,Sly Fox Brewing Company,"Phoenixville, PA",Märzen / Oktoberfest,12 oz.,5.80%,25,Other
601,Oktoberfest Revolution,Revolution Brewing Company,"Chicago, IL",Märzen / Oktoberfest,12 oz.,5.70%,25,Other
602,Ol' Factory Pils,Two Roads Brewing Company,"Stratford, CT",German Pilsener,12 oz.,5%,N/A,Other
603,Old Chub,Oskar Blues Brewery,"Longmont, CO",Scottish Ale,12 oz.,8%,35,Ale
604,Old Chub (2003),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35,Ale
605,Old Chub (2004),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35,Ale
606,Old Chub (2008),Oskar Blues Brewery,"Lyons, CO",Scottish Ale,12 oz.,8%,35,Ale
607,Old Devil's Tooth,Sockeye Brewing Company,"Boise, ID",American Barleywine,12 oz.,10.30%,100,Other
608,Old Elephant Foot IPA,Tampa Bay Brewing Company,"Tampa, FL",American IPA,16 oz.,7%,80,IPA
609,Old Grogham Imperial India Pale Ale,Natian Brewery,"Portland, OR",American Double / Imperial IPA,16 oz.,8.50%,86,IPA
610,Old Potentate,Southern Star Brewing Company,"Conroe, TX",Old Ale,12 oz.,7.20%,40,Ale
611,Old Red Beard Amber Ale,Astoria Brewing Company,"Astoria, OR",American Amber / Red Ale,12 oz.,6%,35,Ale
612,Old Tom Porter,Piney River Brewing Company,"Bucryus, MO",American Porter,16 oz.,5.50%,25,Other
613,Old Town Ale,Pateros Creek Brewing Company,"Fort Collins, CO",Kölsch,16 oz.,4.50%,22,Other
614,Old Wylie's IPA,Rivertowne Brewing Company,"Export, PA",American IPA,12 oz.,6.20%,N/A,IPA
615,Olde Ore Dock Scottish Ale,Keweenaw Brewing Company,"Houghton, MI",Scottish Ale,12 oz.,???,N/A,Ale
616,Oliver Beanblossom Peach Hard Cider,Beanblossom Hard Ciders (Oliver ...,"Bloomington, IN",Cider,250 ml,8%,N/A,Other
617,On the Wings of Armageddon,DC Brau Brewing Company,"Washington, DC",American Double / Imperial IPA,12 oz.,9.20%,115,IPA
618,On-On Ale (2008),Arctic Craft Brewery,"Colorado Springs, CO",American Pale Ale (APA),12 oz.,5.20%,N/A,Ale
619,One Hit Wonder,Oskar Blues Brewery,"Longmont, CO",American Double / Imperial IPA,12 oz.,9%,60,IPA
620,Orange Grove Wheat Ale,Brindle Dog Brewing Company,"Tampa Bay, FL",American Pale Wheat Ale,12 oz.,???,N/A,Ale
621,Orange Wheat,Hangar 24 Craft Brewery,"Redlands, CA",Fruit / Vegetable Beer,12 oz.,4.60%,17,Other
622,Oregon Trail Unfiltered Raspberry Wheat,High Noon Saloon And Brewery,"Leavenworth, KS",Fruit / Vegetable Beer,12 oz.,4.50%,N/A,Other
623,Organic Baba Black Lager,Uinta Brewing Company,"Salt Lake City, UT",Schwarzbier,12 oz.,4%,32,Other
624,Original Orange Blossom Ale (Current),Buckbean Brewing Company,"Reno, NV",Herbed / Spiced Beer,16 oz.,5.80%,35,Other
625,Orignal Blend,Downeast Cider House,"Waterville, ME",Cider,12 oz.,5.10%,N/A,Other
626,Osiris Pale Ale,Sun King Brewing Company,"Indianapolis, IN",American Pale Ale (APA),16 oz.,5.60%,50,Ale
627,oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,16 oz.,8.50%,N/A,IPA
628,oSKAr the G'Rauch,Oskar Blues Brewery,"Longmont, CO",American IPA,19.2 oz.,8.50%,N/A,IPA
629,Outlaw IPA,Two Brothers Brewing Company,"Warrenville, IL",American IPA,12 oz.,6.50%,N/A,IPA
630,Outlaw IPA,Payette Brewing Company,"Garden City, ID",American IPA,12 oz.,6.20%,65,IPA
631,Over Ale,Half Acre Beer Company,"Chicago, IL",American Brown Ale,16 oz.,6%,N/A,Ale
632,Over Rated West Coast IPA,Surly Brewing Company,"Brooklyn Center, MN",American IPA,16 oz.,???,N/A,IPA
633,Over the Rail Pale Ale,Pug Ryan's Brewery,"Dillon, CO",American Pale Ale (APA),12 oz.,???,N/A,Ale
634,Overbite IPA,Old Forge Brewing Company,"Danville, PA",American IPA,16 oz.,7.50%,N/A,IPA
635,Owney Irish Style Red Ale,Great River Brewery,"Davenport, IA",Irish Red Ale,16 oz.,5%,30,Ale
636,Ozzy,The Brewer's Art,"Baltimore, MD",Belgian Pale Ale,12 oz.,7%,N/A,Ale
637,P-51 Porter,Wingman Brewers,"Tacoma, WA",American Porter,16 oz.,8%,31,Other
638,Pablo Beach Pale Ale,Green Room Brewing,"Jacksonville, FL",American Pale Ale (APA),12 oz.,5%,30,Ale
639,Paddy Pale Ale,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",American Pale Ale (APA),12 oz.,5.40%,N/A,Ale
640,Pako’s EyePA,Snake River Brewing Company,"Jackson, WY",American IPA,12 oz.,6.80%,60,IPA
641,Pale Dog,Hops & Grain Brewery,"Austin, TX",American Pale Ale (APA),12 oz.,6%,50,Ale
642,Pallavicini Pilsner,Pug Ryan's Brewery,"Dillon, CO",German Pilsener,12 oz.,???,N/A,Other
643,Pamola Xtra Pale Ale,Baxter Brewing Company,"Lewiston, ME",American Pale Ale (APA),12 oz.,4.90%,28,Ale
644,Panorama Wheat Ale,Two Beers Brewing Company,"Seattle, WA",American Pale Wheat Ale,12 oz.,4.60%,N/A,Ale
645,Payette Pale Ale,Payette Brewing Company,"Garden City, ID",American Pale Ale (APA),12 oz.,4.80%,35,Ale
646,Peacemaker,Austin Beerworks,"Austin, TX",American Pale Ale (APA),12 oz.,5.10%,N/A,Ale
647,Pearl-Snap,Austin Beerworks,"Austin, TX",German Pilsener,12 oz.,5.30%,N/A,Other
648,Penn Quarter Porter,DC Brau Brewing Company,"Washington, DC",American Porter,12 oz.,5.50%,N/A,Other
649,People's Pale Ale,Intuition Ale Works,"Jacksonville, FL",American Pale Ale (APA),12 oz.,5.30%,28,Ale
650,Perfect Tin Amber,Tin Roof Brewing Company,"Baton Rouge, LA",American Amber / Red Ale,12 oz.,4.50%,28,Ale
651,Perrin Golden Ale,Perrin Brewing Company,"Comstock Park, MI",American Blonde Ale,12 oz.,???,N/A,Ale
652,Perrin IPA,Perrin Brewing Company,"Comstock Park, MI",American IPA,12 oz.,???,N/A,IPA
653,Perrin Pale Ale,Perrin Brewing Company,"Comstock Park, MI",American Pale Ale (APA),12 oz.,???,N/A,Ale
654,Perrin Porter,Perrin Brewing Company,"Comstock Park, MI",American Porter,12 oz.,???,N/A,Other
655,Persnickety Pale,Two Beers Brewing Company,"Seattle, WA",American Pale Ale (APA),12 oz.,5.70%,36,Ale
656,Pete's ESP Lager (1998),Pete's Brewing Company,"San Antonio, TX",American Pale Lager,12 oz.,5.10%,N/A,Lager
657,Pete's Wicked Bohemian Pilsner (1997),Pete's Brewing Company,"San Antonio, TX",Czech Pilsener,12 oz.,4.90%,N/A,Other
658,Pete's Wicked Pale Ale (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Ale (APA),12 oz.,???,N/A,Ale
659,Pete's Wicked Summer Brew (1996),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
660,Pete's Wicked Summer Brew (1997),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
661,Pete's Wicked Summer Brew (2002),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
662,Pete's Wicked Summer Brew (1995),Pete's Brewing Company,"San Antonio, TX",American Pale Wheat Ale,12 oz.,4.70%,N/A,Ale
663,Phantom Punch Winter Stout,Baxter Brewing Company,"Lewiston, ME",Foreign / Export Stout,12 oz.,6.80%,N/A,Stout
664,Phat Chance,The Wild Onion Brewing Company/T...,"Lake Barrington, IL",American Blonde Ale,12 oz.,5.60%,N/A,Ale
665,Phoenix Pale Ale,Sly Fox Brewing Company,"Phoenixville, PA",American Pale Ale (APA),12 oz.,5.10%,40,Ale
666,Pick Axe Blonde Ale,Keweenaw Brewing Company,"Houghton, MI",American Blonde Ale,12 oz.,???,N/A,Ale
667,Pikeland Pils,Sly Fox Brewing Company,"Phoenixville, PA",German Pilsener,12 oz.,4.90%,44,Other
668,Pile O'Dirt Porter,Crow Peak Brewing Company,"Spearfish, SD",American Porter,12 oz.,6.90%,N/A,Other
669,Pilsner Ukiah,Ukiah Brewing Company,"Ukiah, CA",German Pilsener,12 oz.,5.50%,N/A,Other
670,Pine Belt Pale Ale,Southern Star Brewing Company,"Conroe, TX",American Pale Ale (APA),16 oz.,6.50%,45,Ale
671,Plow Horse Belgian Style Imperial Stout,Brewery Vivant,"Grand Rapids, MI",American Double / Imperial Stout,16 oz.,9.50%,N/A,Stout
672,Plum Island Belgian White,Newburyport Brewing Company,"Newburyport, MA",Witbier,12 oz.,???,N/A,Other
673,Point Amber Classic,Stevens Point Brewery,"Stevens Point, WI",American Amber / Red Lager,12 oz.,4.70%,14,Lager
674,Point Cascade Pale Ale,Stevens Point Brewery,"Stevens Point, WI",American Pale Ale (APA),12 oz.,5.40%,33,Ale
675,Point Nude Beach Summer Wheat (2010),Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,12 oz.,5%,7,Ale
676,Point Nude Beach Summer Wheat (2011),Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,12 oz.,5%,7,Ale
677,Point Nude Beach Summer Wheat,Stevens Point Brewery,"Stevens Point, WI",American Pale Wheat Ale,12 oz.,5%,7,Ale
678,Point Oktoberfest,Stevens Point Brewery,"Stevens Point, WI",Märzen / Oktoberfest,12 oz.,5.70%,15,Other
679,Point Special Lager,Stevens Point Brewery,"Stevens Point, WI",American Adjunct Lager,12 oz.,4.70%,9,Lager
680,Point the Way IPA,Golden Road Brewing,"Los Angeles, CA",American IPA,16 oz.,5.20%,N/A,IPA
681,Polar Pale Ale,Broken Tooth Brewing Company,"Anchorage, AK",American Pale Ale (APA),12 oz.,5.20%,17,Ale
682,Poleeko Gold Pale Ale (2009),Anderson Valley Brewing Company,"Boonville, CA",American Pale Ale (APA),12 oz.,5.50%,28,Ale
683,Pomegranate Wheat (2008),Matt Brewing Company,"Utica, NY",Fruit / Vegetable Beer,12 oz.,4.70%,N/A,Other
684,Ponderosa IPA,Prescott Brewing Company,"Prescott, AZ",American IPA,12 oz.,???,N/A,IPA
