#,BEER,BREWERY,LOCATION,STYLE,SIZE,ABV,IBUs,Type
840,Tejas Lager,Big Bend Brewing Company,"Alpine, TX",Czech Pilsener,12 oz.,4.70%,N/A,Other
841,Tempter IPA,Telluride Brewing Company,"Telluride, CO",American IPA,12 oz.,6.40%,N/A,IPA
842,Ten Fidy Imperial Stout,Oskar Blues Brewery,"Longmont, CO",Russian Imperial Stout,12 oz.,10.50%,98,Stout
843,Ten Fidy Imperial Stout (2007),Oskar Blues Brewery,"Lyons, CO",Russian Imperial Stout,12 oz.,10.50%,98,Stout
844,Ten Fidy Imperial Stout (2008),Oskar Blues Brewery,"Lyons, CO",Russian Imperial Stout,12 oz.,9.50%,98,Stout
845,Tent Pole Vanilla Porter,Bonfire Brewing Company,"Eagle, CO",American Porter,16 oz.,6.10%,N/A,Other
846,Terlingua Gold,Big Bend Brewing Company,"Alpine, TX",American Blonde Ale,12 oz.,6%,N/A,Ale
847,Testudo,Two Brothers Brewing Company,"Warrenville, IL",Bière de Garde,12 oz.,4.50%,N/A,Other
848,The Captain,Ruhstaller Beer Company,"Sacramento, CA",American Black Ale,16 oz.,7.30%,55,Ale
849,The Citizen,DC Brau Brewing Company,"Washington, DC",Belgian Pale Ale,12 oz.,7%,N/A,Ale
850,The Corruption,DC Brau Brewing Company,"Washington, DC",American IPA,12 oz.,6.50%,80,IPA
851,The Crisp,Sixpoint Craft Ales,"Brooklyn, NY",German Pilsener,16 oz.,5.40%,N/A,Other
852,The Deuce,Oskar Blues Brewery,"Longmont, CO",American Brown Ale,16 oz. Alumi-Tek®,7%,N/A,Ale
853,The Deuce,Sun King Brewing Company,"Indianapolis, IN",American Brown Ale,16 oz. Alumi-Tek®,7%,N/A,Ale
854,The Farmer's Daughter,Lucette Brewing Company,"Menominie, WI",American Blonde Ale,16 oz.,4.80%,N/A,Ale
855,The Hole in Hadrian's Wall,Okoboji Brewing Company,"Spirit Lake, IA",Scottish Ale,16 oz.,9.50%,19,Ale
856,The Lawn Ranger,Cedar Creek Brewery,"Seven Points, TX",Cream Ale,16 oz.,5%,18,Ale
857,The One They Call Zoe,Hops & Grain Brewery,"Austin, TX",American Pale Lager,12 oz.,5.10%,N/A,Lager
858,The Public,DC Brau Brewing Company,"Washington, DC",American Pale Ale (APA),12 oz.,6%,N/A,Ale
859,The Velvet Fog,Sun King Brewing Company,"Indianapolis, IN",Quadrupel (Quad),16 oz. Alumi-Tek®,9%,24,Other
860,Third Eye Pale Ale,Steamworks Brewing Company,"Durango, CO",American IPA,12 oz.,6.50%,65,IPA
861,This Season's Blonde,Aspen Brewing Company,"Aspen, CO",American Blonde Ale,12 oz.,5.60%,27,Ale
862,THP Amber (2006),Cans Bar and Canteen,"Charlotte, NC",American Amber / Red Ale,12 oz.,???,N/A,Ale
863,THP Dark (2006),Cans Bar and Canteen,"Charlotte, NC",English Dark Mild Ale,12 oz.,???,N/A,Ale
864,THP Light (2006),Cans Bar and Canteen,"Charlotte, NC",American Blonde Ale,12 oz.,???,N/A,Ale
865,THP White (2006),Cans Bar and Canteen,"Charlotte, NC",Witbier,12 oz.,???,N/A,Other
866,Threadless IPA,Finch's Beer Company,"Chicago, IL",American IPA,16 oz.,7.50%,N/A,IPA
867,Three Kings Ale,Stevens Point Brewery,"Stevens Point, WI",Kölsch,12 oz.,4.90%,13,Other
868,Tin Roof Blonde Ale,Tin Roof Brewing Company,"Baton Rouge, LA",American Blonde Ale,12 oz.,4.50%,18,Ale
869,Toasted Lager,Blue Point Brewing Company,"Patchogue, NY",Vienna Lager,12 oz.,5.50%,28,Lager
